,data,numArticles,neutral,positive,negative
928,2015-05-20,3,0.06786204,0.33746493,0.5946731
929,2015-05-07,2,0.2461739,0.056454405,0.6973716
930,2015-05-08,3,0.5637973,0.40620783,0.029994903
931,2015-05-11,2,0.5347334,0.09706418,0.3682024
932,2015-05-12,1,0.08455735,0.0274714,0.8879712
933,2015-04-22,4,0.51475286,0.15683626,0.32841086
934,2015-04-23,2,0.753556,0.17746468,0.06897929
935,2015-05-04,1,0.94010586,0.037380178,0.02251391
936,2015-05-06,2,0.74550503,0.18516944,0.06932551
937,2015-04-17,1,0.8547896,0.12849303,0.016717391
938,2015-04-07,1,0.20648925,0.38544708,0.4080637
939,2015-04-08,2,0.7770604,0.20147215,0.021467498
940,2015-04-09,1,0.12956354,0.023902003,0.8465345
941,2015-04-10,1,0.025502454,0.009068685,0.9654288
942,2015-03-27,3,0.3399464,0.36078978,0.29926383
943,2015-03-29,1,0.025059393,0.0149385305,0.960002
944,2015-03-30,1,0.33707654,0.09711712,0.5658064
945,2015-04-02,2,0.4845438,0.01872362,0.4967326
946,2015-03-20,2,0.083958305,0.47811902,0.4379227
947,2015-03-23,3,0.35581943,0.101755686,0.5424249
948,2015-03-24,2,0.8027088,0.1624972,0.034793995
949,2015-03-12,1,0.24148534,0.5846926,0.17382206
950,2015-03-16,1,0.042307314,0.82312924,0.13456349
951,2015-03-17,1,0.42112318,0.56359833,0.015278435
952,2015-03-18,1,0.9422445,0.030192576,0.027562857
953,2015-02-27,1,0.5446479,0.20044996,0.25490212
954,2015-03-01,1,0.5446479,0.20044996,0.25490212
955,2015-03-04,2,0.20875683,0.02166826,0.76957476
956,2015-03-10,1,0.9456652,0.032245018,0.022089802
957,2015-02-17,2,0.48012918,0.094355896,0.42551494
958,2015-02-18,1,0.8241166,0.16479644,0.01108695
959,2015-02-23,1,0.24176912,0.078734644,0.6794962
960,2015-02-25,1,0.9344487,0.046693824,0.018857434
961,2015-02-26,2,0.36867988,0.3941375,0.23718259
962,2015-01-31,1,0.68533796,0.19280212,0.1218599
963,2015-02-02,2,0.6481357,0.040329337,0.3115349
964,2015-02-03,1,0.3049913,0.6083217,0.08668698
965,2015-02-04,1,0.34091708,0.02642446,0.6326584
966,2015-02-09,3,0.41810367,0.15068756,0.43120882
967,2015-01-22,1,0.2349613,0.38424334,0.38079533
968,2015-01-23,2,0.4464801,0.16484968,0.3886702
969,2015-01-27,2,0.48022094,0.4812432,0.03853587
970,2015-01-28,1,0.079936974,0.03105874,0.8890043
971,2015-01-29,1,0.9423638,0.040326044,0.017310161
972,2014-12-29,1,0.7196014,0.033276916,0.24712163
973,2014-12-31,1,0.05766085,0.013201403,0.92913777
974,2015-01-05,1,0.119278125,0.1045771,0.7761448
975,2014-11-17,1,0.9113468,0.035007823,0.053645406
976,2014-11-18,1,0.42735744,0.042302325,0.53034025
977,2014-11-21,1,0.82558286,0.02199034,0.15242682
978,2014-12-02,1,0.941474,0.034229457,0.024296476
979,2014-12-05,1,0.055772666,0.2698261,0.67440116
980,2014-12-09,2,0.31684092,0.19446696,0.4886921
981,2014-12-10,1,0.7624334,0.082303256,0.15526329
982,2014-12-12,1,0.56759214,0.3711076,0.06130017
983,2014-12-23,1,0.79957086,0.02589851,0.17453063
984,2014-11-06,3,0.054241296,0.011898481,0.93386024
985,2014-11-07,1,0.14327553,0.045253348,0.8114711
986,2014-11-10,1,0.31668046,0.027386095,0.65593344
987,2014-11-11,1,0.91909534,0.063769616,0.017134996
988,2014-11-12,1,0.07143218,0.025879351,0.90268844
989,2014-10-15,3,0.09894749,0.85739976,0.043652713
990,2014-10-16,3,0.29918286,0.43926492,0.26155224
991,2014-10-17,1,0.092016704,0.51887375,0.3891095
992,2014-09-26,1,0.049748734,0.8107348,0.13951647
993,2014-09-29,2,0.9128182,0.069443,0.01773883
994,2014-10-01,1,0.9179363,0.023564989,0.058498714
995,2014-10-08,1,0.37974793,0.60697097,0.01328104
996,2014-10-10,1,0.85869795,0.13256069,0.008741416
997,2014-09-16,1,0.058146123,0.9131227,0.028731255
998,2014-09-21,1,0.076723754,0.9129036,0.010372732
999,2014-09-23,1,0.7372988,0.2164242,0.046276994
1000,2014-08-21,3,0.290722,0.31600663,0.39327136
1001,2014-08-23,1,0.8198998,0.1439967,0.03610351
1002,2014-09-10,1,0.16792946,0.015055811,0.81701475
1003,2014-08-06,1,0.44275326,0.49100262,0.06624412
1004,2014-08-07,1,0.5176577,0.46690416,0.0154381115
1005,2014-08-15,2,0.16838807,0.02310392,0.808508
1006,2014-08-18,1,0.85822886,0.023084275,0.11868684
1007,2014-08-19,1,0.8908242,0.09579155,0.013384242
1008,2014-08-20,2,0.09727445,0.45520598,0.44751957
1009,2014-07-21,1,0.02034709,0.00987485,0.969778
1010,2014-07-30,1,0.11736469,0.027215445,0.8554199
1011,2014-08-03,1,0.7595571,0.23022164,0.01022123
1012,2014-06-11,2,0.49023274,0.16014768,0.3496196
1013,2014-06-20,4,0.28027242,0.48750055,0.23222703
1014,2014-06-26,2,0.4593695,0.033915337,0.5067152
1015,2014-06-30,1,0.16724868,0.8063413,0.026410026
1016,2014-04-28,1,0.3879444,0.021739999,0.5903156
1017,2014-06-05,1,0.8623486,0.039294995,0.098356396
1018,2014-04-09,1,0.69156957,0.17617935,0.1322511
1019,2014-04-10,2,0.8567399,0.07655456,0.06670552
1020,2014-04-14,1,0.14165643,0.63976216,0.21858142
1021,2014-02-20,2,0.051197495,0.45863983,0.49016264
1022,2014-02-26,2,0.09091254,0.82167006,0.08741741
1023,2014-03-17,2,0.12493639,0.5656837,0.30937985
1024,2014-03-27,2,0.06695976,0.3848406,0.5481996
1025,2014-01-18,1,0.94033384,0.03602039,0.023645835
1026,2014-02-05,1,0.9270104,0.045724176,0.027265362
1027,2014-01-08,1,0.9344453,0.03544737,0.030107357
1028,2014-01-14,2,0.3008572,0.45568994,0.24345285
1029,2013-11-07,2,0.4989552,0.47817174,0.022873096
1030,2013-11-18,1,0.15659331,0.5297597,0.31364706
1031,2013-11-20,1,0.13234288,0.59539217,0.272265
1032,2013-08-27,3,0.05003494,0.04014876,0.90981627
1033,2013-08-14,2,0.0297524,0.03210302,0.93814456
1034,2013-08-21,2,0.033732146,0.026206851,0.9400611
1035,2013-08-26,1,0.02855817,0.06811238,0.90332943
1036,2013-08-02,2,0.07550448,0.31047723,0.6140183
1037,2013-08-08,1,0.092146836,0.7457001,0.16215307
1038,2013-08-09,1,0.032414086,0.05541874,0.9121672
1039,2013-07-05,1,0.06795153,0.8230273,0.10902113
1040,2013-06-14,1,0.073384464,0.833737,0.092878565
1041,2013-06-28,1,0.027889768,0.02148478,0.9506255
1042,2013-05-31,1,0.023375947,0.028912058,0.94771194
1043,2013-06-03,2,0.09699135,0.53296095,0.37004775
