,data,numArticles,neutral,positive,negative
152,2013-03-24,14,0.6102128,0.18808474,0.20170236
153,2013-03-19,45,0.5682974,0.16899379,0.26270887
154,2013-03-20,26,0.5493161,0.15035859,0.30032536
155,2013-03-18,44,0.41118002,0.22457172,0.3642484
156,2013-03-14,23,0.39976463,0.34012526,0.26011008
157,2013-03-15,25,0.51958865,0.25000772,0.2304036
158,2013-03-13,26,0.4393503,0.26016417,0.30048555
159,2013-03-07,29,0.38975638,0.3425652,0.26767832
160,2013-03-08,23,0.4665138,0.20629327,0.32719293
161,2013-03-10,8,0.36231595,0.27209303,0.36559102
162,2013-03-11,31,0.48566854,0.25347963,0.26085183
163,2013-03-06,32,0.42559645,0.1897518,0.38465175
164,2013-03-04,24,0.45020553,0.21183027,0.3379642
165,2013-03-05,21,0.5245589,0.27039036,0.20505077
166,2013-02-26,32,0.50549525,0.2327433,0.2617614
167,2013-02-27,24,0.47262624,0.27039304,0.2569807
168,2013-02-28,21,0.36055008,0.2567037,0.38274625
169,2013-02-24,5,0.4845333,0.27278382,0.24268286
170,2013-02-25,23,0.34238145,0.356076,0.30154255
171,2013-02-20,28,0.49560627,0.17080055,0.33359328
172,2013-02-21,26,0.42288998,0.14319932,0.4339107
173,2013-02-18,17,0.52680767,0.22053492,0.25265744
174,2013-02-19,27,0.4614124,0.28927454,0.24931306
175,2013-02-14,21,0.42732635,0.18501395,0.38765976
176,2013-02-15,18,0.3275673,0.1280801,0.5443526
177,2013-02-17,11,0.6522117,0.14326344,0.20452486
178,2013-02-11,27,0.47311604,0.19722296,0.32966086
179,2013-02-12,23,0.4383845,0.29104313,0.27057233
180,2013-02-13,18,0.4457245,0.3068857,0.24738987
181,2013-02-06,32,0.5194199,0.1485959,0.33198413
182,2013-02-07,19,0.36039773,0.24170777,0.39789456
183,2013-02-03,8,0.38289136,0.23425564,0.382853
184,2013-02-04,29,0.48808265,0.17167538,0.340242
185,2013-02-05,23,0.45106688,0.1796877,0.36924544
186,2013-01-30,21,0.5842686,0.2084851,0.20724627
187,2013-01-31,35,0.3760829,0.16987653,0.4540405
188,2013-01-25,13,0.40870535,0.23087004,0.36042464
189,2013-01-27,14,0.63236374,0.23249936,0.13513696
190,2013-01-28,21,0.40359512,0.26553446,0.33087048
191,2013-01-29,28,0.36941305,0.3530001,0.27758685
192,2013-01-23,36,0.45509708,0.24537519,0.29952776
193,2013-01-24,18,0.26577225,0.3670792,0.3671485
194,2013-01-18,21,0.5327836,0.30658364,0.16063277
195,2013-01-20,6,0.5328205,0.18152656,0.28565288
196,2013-01-21,24,0.40088308,0.3084633,0.29065365
197,2013-01-22,20,0.47605643,0.3063483,0.21759525
198,2013-01-15,30,0.37282464,0.2947334,0.3324419
199,2013-01-16,12,0.23955917,0.3008715,0.45956936
200,2013-01-17,18,0.2750852,0.4259025,0.29901236
201,2013-01-10,21,0.4145268,0.22344473,0.36202845
202,2013-01-11,22,0.44524196,0.34078273,0.21397524
203,2013-01-14,15,0.5011635,0.15496801,0.34386846
204,2013-01-03,28,0.29319766,0.17106478,0.5357375
205,2013-01-04,19,0.6317205,0.19623429,0.17204525
206,2013-01-09,21,0.2844382,0.3426982,0.37286362
207,2013-01-02,17,0.42997164,0.28521976,0.2848086
208,2012-12-27,14,0.23179427,0.41714427,0.3510615
209,2012-12-28,17,0.5276507,0.19705428,0.275295
210,2012-12-30,16,0.49156192,0.14964868,0.3587894
211,2012-12-31,20,0.40632552,0.20209858,0.39157593
212,2013-01-01,6,0.4725059,0.19998638,0.32750773
213,2012-12-20,25,0.38249034,0.24003163,0.37747806
214,2012-12-21,19,0.4835216,0.24852419,0.26795423
215,2012-12-23,18,0.46793938,0.28753626,0.24452431
216,2012-12-26,4,0.62961245,0.13414173,0.23624586
217,2012-12-18,25,0.39057913,0.3743181,0.2351028
218,2012-12-19,31,0.40143213,0.27736685,0.32120103
219,2012-12-14,29,0.39771524,0.24835108,0.35393366
220,2012-12-16,17,0.4712884,0.2298353,0.2988762
221,2012-12-17,25,0.419804,0.2966916,0.2835044
222,2012-12-11,34,0.33157945,0.3041711,0.36424947
223,2012-12-12,28,0.5791451,0.17551346,0.2453414
224,2012-12-13,29,0.6671659,0.14334692,0.18948717
225,2012-12-06,22,0.36213616,0.22215466,0.4157092
226,2012-12-07,21,0.36237073,0.22686668,0.41076255
227,2012-12-09,13,0.2697864,0.34314153,0.38707206
228,2012-12-10,45,0.37763342,0.2599632,0.36240336
229,2012-12-03,25,0.3942897,0.24838571,0.3573246
230,2012-12-04,32,0.30265146,0.3499133,0.3474352
231,2012-12-05,27,0.32751355,0.19960877,0.47287768
232,2012-11-28,33,0.32150257,0.15408722,0.52441025
233,2012-11-30,28,0.37540793,0.29075855,0.3338335
234,2012-12-02,17,0.36745885,0.30223367,0.3303075
235,2012-11-27,36,0.31550962,0.24438047,0.44010997
236,2012-11-23,11,0.3401694,0.40402555,0.25580505
237,2012-11-25,14,0.418395,0.29763195,0.28397304
238,2012-11-26,32,0.43697834,0.28708526,0.27593642
239,2012-11-19,33,0.47759908,0.2857476,0.23665345
240,2012-11-20,25,0.41477093,0.31806943,0.2671596
241,2012-11-21,29,0.41581157,0.29765657,0.28653187
242,2012-11-14,27,0.38270938,0.19005726,0.4272333
243,2012-11-15,27,0.2840014,0.13621733,0.57978123
244,2012-11-16,12,0.6097229,0.20873523,0.18154182
245,2012-11-11,27,0.401825,0.14703539,0.45113963
246,2012-11-13,27,0.32009187,0.18405205,0.4958561
247,2012-11-07,25,0.39812946,0.22860974,0.37326074
248,2012-11-09,20,0.49178824,0.1964961,0.31171566
249,2012-11-05,17,0.6971908,0.08697292,0.21583629
250,2013-06-14,21,0.3670327,0.15850055,0.47446677
251,2013-06-15,4,0.59852165,0.08173603,0.31974226
252,2012-10-29,18,0.64726734,0.093587615,0.25914505
253,2012-10-30,18,0.43092915,0.21189749,0.35717338
254,2012-10-31,25,0.46015567,0.19842339,0.341421
255,2012-11-02,19,0.4357895,0.23191917,0.33229136
256,2012-11-04,21,0.26472816,0.22408731,0.51118445
257,2012-10-23,20,0.4410425,0.22439191,0.33456555
258,2012-10-24,25,0.47284928,0.201752,0.3253987
259,2012-10-28,17,0.40900472,0.29902223,0.29197305
260,2012-10-22,27,0.329157,0.28532168,0.38552132
261,2012-10-17,29,0.45267543,0.31029892,0.23702565
262,2012-10-21,12,0.6051672,0.17566969,0.21916308
263,2012-10-10,19,0.40733087,0.17639045,0.4162786
264,2012-10-14,23,0.35847273,0.23862362,0.40290365
265,2012-10-15,26,0.3822412,0.33685726,0.28090164
266,2012-10-16,23,0.5299141,0.25697553,0.21311039
267,2012-10-08,32,0.4743609,0.14416395,0.38147512
268,2012-10-09,22,0.38052627,0.17245913,0.4470146
269,2012-10-01,27,0.57110405,0.1678882,0.26100773
270,2012-10-02,25,0.40358818,0.33229724,0.26411456
271,2012-10-03,31,0.50436985,0.16657816,0.329052
272,2012-10-04,21,0.330812,0.34324938,0.3259386
273,2012-10-05,24,0.44642887,0.22707148,0.32649976
274,2012-09-27,24,0.41131005,0.32255763,0.26613232
275,2012-09-28,30,0.4772559,0.2254903,0.29725373
276,2012-09-25,21,0.55408055,0.18683133,0.2590882
277,2012-09-26,28,0.37406278,0.102219604,0.5237176
