todate,Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK,open,close,low,high,volume,Unnamed: 0.1,Period Ending,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Capital Surplus,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Deferred Asset Charges,Deferred Liability Charges,Depreciation,Earnings Before Interest and Tax,Earnings Before Tax,Effect of Exchange Rate,Equity Earnings/Loss Unconsolidated Subsidiary,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Income Tax,Intangible Assets,Interest Expense,Inventory,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Minority Interest,Misc. Stocks,Net Borrowings,Net Cash Flow,Net Cash Flow-Operating,Net Cash Flows-Financing,Net Cash Flows-Investing,Net Income,Net Income Adjustments,Net Income Applicable to Common Shareholders,Net Income-Cont. Operations,Net Receivables,Non-Recurring Items,Operating Income,Operating Margin,Other Assets,Other Current Assets,Other Current Liabilities,Other Equity,Other Financing Activities,Other Investing Activities,Other Liabilities,Other Operating Activities,Other Operating Items,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Quick Ratio,Research and Development,Retained Earnings,Sale and Purchase of Stock,"Sales, General and Admin.",Short-Term Debt / Current Portion of Long-Term Debt,Short-Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Revenue,Treasury Stock,For Year,Earnings Per Share,Estimated Shares Outstanding,Sentiment_Score,Pos_Neg
2015-12-30,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,17.200001,17.049999,17.040001,17.24,35066400.0,192,2014/12/31,145000000000.0,0,0,2,0,0.0,0.0,582000000000.0,0,153000000000.0,2656000000.0,0.0,0,0,5210000000,16709000000,6855000000,-3067000000,1130000000,10049000000.0,69777000000.0,0,0.0,2022000000,4612000000.0,8278000000,0,-5677000000.0,9702000000,121000000000.0,1510000000000.0,0,0,-13832000000,7267000000,30135000000.0,-12201000000.0,-7600000000.0,4833000000,-345000000,3789000000,5963000000,61845000000,0,0,0,112000000000.0,0,1120000000000.0,-4320000000,-345000000,-1923000000,0.0,4114000000,3211000000,7,3,5,0.0,0,75024000000.0,4282000000,74181000000,232000000000.0,7510000000.0,2100000000000.0,0.0,0,243000000000.0,1860000000000.0,2100000000000.0,95181000000.0,0.0,2014.0,0.36,13425000000.0,-0.9641,-1.0
2015-12-31,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,17.01,16.83,16.83,17.07,46594300.0,192,2014/12/31,145000000000.0,0,0,2,0,0.0,0.0,582000000000.0,0,153000000000.0,2656000000.0,0.0,0,0,5210000000,16709000000,6855000000,-3067000000,1130000000,10049000000.0,69777000000.0,0,0.0,2022000000,4612000000.0,8278000000,0,-5677000000.0,9702000000,121000000000.0,1510000000000.0,0,0,-13832000000,7267000000,30135000000.0,-12201000000.0,-7600000000.0,4833000000,-345000000,3789000000,5963000000,61845000000,0,0,0,112000000000.0,0,1120000000000.0,-4320000000,-345000000,-1923000000,0.0,4114000000,3211000000,7,3,5,0.0,0,75024000000.0,4282000000,74181000000,232000000000.0,7510000000.0,2100000000000.0,0.0,0,243000000000.0,1860000000000.0,2100000000000.0,95181000000.0,0.0,2014.0,0.36,13425000000.0,0.0,0.0
2015-12-31,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,17.01,16.83,16.83,17.07,46594300.0,193,2015/12/31,146000000000.0,0,0,6,0,0.0,0.0,613000000000.0,0,151000000000.0,2204000000.0,0.0,0,0,4861000000,31842000000,22154000000,-597000000,261000000,9485000000.0,69761000000.0,0,0.0,6266000000,3768000000.0,8345000000,0,-56263000000.0,730000000,105000000000.0,1530000000000.0,0,0,-26755000000,20764000000,27730000000.0,48585000000.0,-54954000000.0,15888000000,3340000000,14405000000,16149000000,58312000000,0,0,0,109000000000.0,0,1200000000000.0,-5674000000,78324000000,1309000000,0.0,-381000000,3995000000,24,9,17,0.0,0,88564000000.0,590000000,56358000000,202000000000.0,7744000000.0,2140000000000.0,0.0,0,256000000000.0,1890000000000.0,2140000000000.0,93056000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-04,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,16.450001,16.43,16.25,16.49,114888000.0,193,2015/12/31,146000000000.0,0,0,6,0,0.0,0.0,613000000000.0,0,151000000000.0,2204000000.0,0.0,0,0,4861000000,31842000000,22154000000,-597000000,261000000,9485000000.0,69761000000.0,0,0.0,6266000000,3768000000.0,8345000000,0,-56263000000.0,730000000,105000000000.0,1530000000000.0,0,0,-26755000000,20764000000,27730000000.0,48585000000.0,-54954000000.0,15888000000,3340000000,14405000000,16149000000,58312000000,0,0,0,109000000000.0,0,1200000000000.0,-5674000000,78324000000,1309000000,0.0,-381000000,3995000000,24,9,17,0.0,0,88564000000.0,590000000,56358000000,202000000000.0,7744000000.0,2140000000000.0,0.0,0,256000000000.0,1890000000000.0,2140000000000.0,93056000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-05,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,16.52,16.43,16.23,16.59,66670000.0,193,2015/12/31,146000000000.0,0,0,6,0,0.0,0.0,613000000000.0,0,151000000000.0,2204000000.0,0.0,0,0,4861000000,31842000000,22154000000,-597000000,261000000,9485000000.0,69761000000.0,0,0.0,6266000000,3768000000.0,8345000000,0,-56263000000.0,730000000,105000000000.0,1530000000000.0,0,0,-26755000000,20764000000,27730000000.0,48585000000.0,-54954000000.0,15888000000,3340000000,14405000000,16149000000,58312000000,0,0,0,109000000000.0,0,1200000000000.0,-5674000000,78324000000,1309000000,0.0,-381000000,3995000000,24,9,17,0.0,0,88564000000.0,590000000,56358000000,202000000000.0,7744000000.0,2140000000000.0,0.0,0,256000000000.0,1890000000000.0,2140000000000.0,93056000000.0,0.0,0.0,0.0,0.0,0.011349999999999971,0.0
2016-01-06,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,16.190001,16.08,16.02,16.290001,102760800.0,193,2015/12/31,146000000000.0,0,0,6,0,0.0,0.0,613000000000.0,0,151000000000.0,2204000000.0,0.0,0,0,4861000000,31842000000,22154000000,-597000000,261000000,9485000000.0,69761000000.0,0,0.0,6266000000,3768000000.0,8345000000,0,-56263000000.0,730000000,105000000000.0,1530000000000.0,0,0,-26755000000,20764000000,27730000000.0,48585000000.0,-54954000000.0,15888000000,3340000000,14405000000,16149000000,58312000000,0,0,0,109000000000.0,0,1200000000000.0,-5674000000,78324000000,1309000000,0.0,-381000000,3995000000,24,9,17,0.0,0,88564000000.0,590000000,56358000000,202000000000.0,7744000000.0,2140000000000.0,0.0,0,256000000000.0,1890000000000.0,2140000000000.0,93056000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-07,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,15.73,15.5,15.44,15.9,116255900.0,193,2015/12/31,146000000000.0,0,0,6,0,0.0,0.0,613000000000.0,0,151000000000.0,2204000000.0,0.0,0,0,4861000000,31842000000,22154000000,-597000000,261000000,9485000000.0,69761000000.0,0,0.0,6266000000,3768000000.0,8345000000,0,-56263000000.0,730000000,105000000000.0,1530000000000.0,0,0,-26755000000,20764000000,27730000000.0,48585000000.0,-54954000000.0,15888000000,3340000000,14405000000,16149000000,58312000000,0,0,0,109000000000.0,0,1200000000000.0,-5674000000,78324000000,1309000000,0.0,-381000000,3995000000,24,9,17,0.0,0,88564000000.0,590000000,56358000000,202000000000.0,7744000000.0,2140000000000.0,0.0,0,256000000000.0,1890000000000.0,2140000000000.0,93056000000.0,0.0,0.0,0.0,0.0,-0.02124999999999999,0.0
2016-01-08,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,15.94,15.2,15.16,15.94,124782400.0,193,2015/12/31,146000000000.0,0,0,6,0,0.0,0.0,613000000000.0,0,151000000000.0,2204000000.0,0.0,0,0,4861000000,31842000000,22154000000,-597000000,261000000,9485000000.0,69761000000.0,0,0.0,6266000000,3768000000.0,8345000000,0,-56263000000.0,730000000,105000000000.0,1530000000000.0,0,0,-26755000000,20764000000,27730000000.0,48585000000.0,-54954000000.0,15888000000,3340000000,14405000000,16149000000,58312000000,0,0,0,109000000000.0,0,1200000000000.0,-5674000000,78324000000,1309000000,0.0,-381000000,3995000000,24,9,17,0.0,0,88564000000.0,590000000,56358000000,202000000000.0,7744000000.0,2140000000000.0,0.0,0,256000000000.0,1890000000000.0,2140000000000.0,93056000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-11,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,15.26,15.31,14.94,15.37,104611700.0,193,2015/12/31,146000000000.0,0,0,6,0,0.0,0.0,613000000000.0,0,151000000000.0,2204000000.0,0.0,0,0,4861000000,31842000000,22154000000,-597000000,261000000,9485000000.0,69761000000.0,0,0.0,6266000000,3768000000.0,8345000000,0,-56263000000.0,730000000,105000000000.0,1530000000000.0,0,0,-26755000000,20764000000,27730000000.0,48585000000.0,-54954000000.0,15888000000,3340000000,14405000000,16149000000,58312000000,0,0,0,109000000000.0,0,1200000000000.0,-5674000000,78324000000,1309000000,0.0,-381000000,3995000000,24,9,17,0.0,0,88564000000.0,590000000,56358000000,202000000000.0,7744000000.0,2140000000000.0,0.0,0,256000000000.0,1890000000000.0,2140000000000.0,93056000000.0,0.0,0.0,0.0,0.0,0.9913,1.0
2016-01-12,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,15.54,15.31,15.06,15.58,100023500.0,193,2015/12/31,146000000000.0,0,0,6,0,0.0,0.0,613000000000.0,0,151000000000.0,2204000000.0,0.0,0,0,4861000000,31842000000,22154000000,-597000000,261000000,9485000000.0,69761000000.0,0,0.0,6266000000,3768000000.0,8345000000,0,-56263000000.0,730000000,105000000000.0,1530000000000.0,0,0,-26755000000,20764000000,27730000000.0,48585000000.0,-54954000000.0,15888000000,3340000000,14405000000,16149000000,58312000000,0,0,0,109000000000.0,0,1200000000000.0,-5674000000,78324000000,1309000000,0.0,-381000000,3995000000,24,9,17,0.0,0,88564000000.0,590000000,56358000000,202000000000.0,7744000000.0,2140000000000.0,0.0,0,256000000000.0,1890000000000.0,2140000000000.0,93056000000.0,0.0,0.0,0.0,0.0,-0.9876,-1.0
2016-01-13,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,15.47,14.9,14.85,15.52,119413000.0,193,2015/12/31,146000000000.0,0,0,6,0,0.0,0.0,613000000000.0,0,151000000000.0,2204000000.0,0.0,0,0,4861000000,31842000000,22154000000,-597000000,261000000,9485000000.0,69761000000.0,0,0.0,6266000000,3768000000.0,8345000000,0,-56263000000.0,730000000,105000000000.0,1530000000000.0,0,0,-26755000000,20764000000,27730000000.0,48585000000.0,-54954000000.0,15888000000,3340000000,14405000000,16149000000,58312000000,0,0,0,109000000000.0,0,1200000000000.0,-5674000000,78324000000,1309000000,0.0,-381000000,3995000000,24,9,17,0.0,0,88564000000.0,590000000,56358000000,202000000000.0,7744000000.0,2140000000000.0,0.0,0,256000000000.0,1890000000000.0,2140000000000.0,93056000000.0,0.0,0.0,0.0,0.0,0.404525,0.5
2016-01-14,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,15.01,14.99,14.65,15.2,125920000.0,193,2015/12/31,146000000000.0,0,0,6,0,0.0,0.0,613000000000.0,0,151000000000.0,2204000000.0,0.0,0,0,4861000000,31842000000,22154000000,-597000000,261000000,9485000000.0,69761000000.0,0,0.0,6266000000,3768000000.0,8345000000,0,-56263000000.0,730000000,105000000000.0,1530000000000.0,0,0,-26755000000,20764000000,27730000000.0,48585000000.0,-54954000000.0,15888000000,3340000000,14405000000,16149000000,58312000000,0,0,0,109000000000.0,0,1200000000000.0,-5674000000,78324000000,1309000000,0.0,-381000000,3995000000,24,9,17,0.0,0,88564000000.0,590000000,56358000000,202000000000.0,7744000000.0,2140000000000.0,0.0,0,256000000000.0,1890000000000.0,2140000000000.0,93056000000.0,0.0,0.0,0.0,0.0,-0.011649999999999994,0.0
2016-01-15,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,14.41,14.46,14.13,14.66,170939300.0,193,2015/12/31,146000000000.0,0,0,6,0,0.0,0.0,613000000000.0,0,151000000000.0,2204000000.0,0.0,0,0,4861000000,31842000000,22154000000,-597000000,261000000,9485000000.0,69761000000.0,0,0.0,6266000000,3768000000.0,8345000000,0,-56263000000.0,730000000,105000000000.0,1530000000000.0,0,0,-26755000000,20764000000,27730000000.0,48585000000.0,-54954000000.0,15888000000,3340000000,14405000000,16149000000,58312000000,0,0,0,109000000000.0,0,1200000000000.0,-5674000000,78324000000,1309000000,0.0,-381000000,3995000000,24,9,17,0.0,0,88564000000.0,590000000,56358000000,202000000000.0,7744000000.0,2140000000000.0,0.0,0,256000000000.0,1890000000000.0,2140000000000.0,93056000000.0,0.0,0.0,0.0,0.0,0.992,1.0
2016-01-19,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,14.69,14.24,14.01,14.79,185727400.0,193,2015/12/31,146000000000.0,0,0,6,0,0.0,0.0,613000000000.0,0,151000000000.0,2204000000.0,0.0,0,0,4861000000,31842000000,22154000000,-597000000,261000000,9485000000.0,69761000000.0,0,0.0,6266000000,3768000000.0,8345000000,0,-56263000000.0,730000000,105000000000.0,1530000000000.0,0,0,-26755000000,20764000000,27730000000.0,48585000000.0,-54954000000.0,15888000000,3340000000,14405000000,16149000000,58312000000,0,0,0,109000000000.0,0,1200000000000.0,-5674000000,78324000000,1309000000,0.0,-381000000,3995000000,24,9,17,0.0,0,88564000000.0,590000000,56358000000,202000000000.0,7744000000.0,2140000000000.0,0.0,0,256000000000.0,1890000000000.0,2140000000000.0,93056000000.0,0.0,0.0,0.0,0.0,0.9681142857142857,1.0
2016-01-20,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,13.79,13.69,13.27,14.0,250537600.0,193,2015/12/31,146000000000.0,0,0,6,0,0.0,0.0,613000000000.0,0,151000000000.0,2204000000.0,0.0,0,0,4861000000,31842000000,22154000000,-597000000,261000000,9485000000.0,69761000000.0,0,0.0,6266000000,3768000000.0,8345000000,0,-56263000000.0,730000000,105000000000.0,1530000000000.0,0,0,-26755000000,20764000000,27730000000.0,48585000000.0,-54954000000.0,15888000000,3340000000,14405000000,16149000000,58312000000,0,0,0,109000000000.0,0,1200000000000.0,-5674000000,78324000000,1309000000,0.0,-381000000,3995000000,24,9,17,0.0,0,88564000000.0,590000000,56358000000,202000000000.0,7744000000.0,2140000000000.0,0.0,0,256000000000.0,1890000000000.0,2140000000000.0,93056000000.0,0.0,0.0,0.0,0.0,0.5361,0.5
2016-01-21,BAC,Bank of America Corp,reports,Financials,Banks,"Charlotte, North Carolina",1976-06-30,70858,13.67,13.36,13.25,13.84,188976000.0,193,2015/12/31,146000000000.0,0,0,6,0,0.0,0.0,613000000000.0,0,151000000000.0,2204000000.0,0.0,0,0,4861000000,31842000000,22154000000,-597000000,261000000,9485000000.0,69761000000.0,0,0.0,6266000000,3768000000.0,8345000000,0,-56263000000.0,730000000,105000000000.0,1530000000000.0,0,0,-26755000000,20764000000,27730000000.0,48585000000.0,-54954000000.0,15888000000,3340000000,14405000000,16149000000,58312000000,0,0,0,109000000000.0,0,1200000000000.0,-5674000000,78324000000,1309000000,0.0,-381000000,3995000000,24,9,17,0.0,0,88564000000.0,590000000,56358000000,202000000000.0,7744000000.0,2140000000000.0,0.0,0,256000000000.0,1890000000000.0,2140000000000.0,93056000000.0,0.0,0.0,0.0,0.0,0.0387,1.0
