date,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK,open,low,high,volume,SMA_100,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,CUMLOGRET_1,SMA_55_CUMLOGRET,Unnamed: 0,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Capital Surplus,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Deferred Asset Charges,Deferred Liability Charges,Depreciation,Earnings Before Interest and Tax,Earnings Before Tax,Effect of Exchange Rate,Equity Earnings/Loss Unconsolidated Subsidiary,Fixed Assets,Goodwill,Gross Margin,Gross Profit,Income Tax,Intangible Assets,Interest Expense,Inventory,Investments,Liabilities,Long-Term Debt,Long-Term Investments,Minority Interest,Misc. Stocks,Net Borrowings,Net Cash Flow,Net Cash Flow-Operating,Net Cash Flows-Financing,Net Cash Flows-Investing,Net Income,Net Income Adjustments,Net Income Applicable to Common Shareholders,Net Income-Cont. Operations,Net Receivables,Non-Recurring Items,Operating Income,Operating Margin,Other Assets,Other Current Assets,Other Current Liabilities,Other Equity,Other Financing Activities,Other Investing Activities,Other Liabilities,Other Operating Activities,Other Operating Items,Pre-Tax Margin,Pre-Tax ROE,Profit Margin,Quick Ratio,Research and Development,Retained Earnings,Sale and Purchase of Stock,"Sales, General and Admin.",Short-Term Debt / Current Portion of Long-Term Debt,Short-Term Investments,Total Assets,Total Current Assets,Total Current Liabilities,Total Equity,Total Liabilities,Total Liabilities & Equity,Total Revenue,Treasury Stock,Earnings Per Share,Estimated Shares Outstanding,close
2016-10-04,0,0,0,0,70858,15.7,15.67,16.049999,98501500.0,14.6006,15.167650267523664,15.5835,15.999349732476338,5.337051785238708,0.7603103754699654,57.649424555715655,0.045661293605443,-0.0144480684827587,0.0601093620882017,0.00698637328798,-0.0300372278948694,193,146286000000.0,0.0,0.0,6.0,0.0,0.0,10.0,612987000000.0,0.0,151042000000.0,2204000000.0,102.0,0.0,0.0,4861000000.0,31842000000.0,22154000000.0,-597000000.0,261000000.0,9485000000.0,69761000000.0,0.0,0.0,6266000000.0,3768000000.0,8345000000.0,0.0,-56263000000.0,730000000.0,105413000000.0,1534829000000.0,0.0,0.0,-26755000000.0,20764000000.0,27730000000.0,48585000000.0,-54954000000.0,15888000000.0,3340000000.0,14405000000.0,16149000000.0,58312000000.0,0.0,0.0,0.0,108582000000.0,0.0,1197259000000.0,-5674000000.0,78324000000.0,1309000000.0,0.0,-381000000.0,3995000000.0,24.0,9.0,17.0,60.0,0.0,88564000000.0,590000000.0,56358000000.0,202389000000.0,7744000000.0,2144316000000.0,0.0,0.0,256205000000.0,1888111000000.0,2144316000000.0,93056000000.0,0.0,0.36,13425000000.0,15.8
2016-10-05,0,0,0,0,70858,15.96,15.96,16.23,86056900.0,14.62290001,15.130738808822546,15.604000050000002,16.077261291177457,6.065896432465798,1.0345894676913412,63.24293325979684,0.0875936573629232,0.0219874362197771,0.065606221143146,0.0264166925171862,-0.0278193761807607,193,146286000000.0,0.0,0.0,6.0,0.0,0.0,10.0,612987000000.0,0.0,151042000000.0,2204000000.0,102.0,0.0,0.0,4861000000.0,31842000000.0,22154000000.0,-597000000.0,261000000.0,9485000000.0,69761000000.0,0.0,0.0,6266000000.0,3768000000.0,8345000000.0,0.0,-56263000000.0,730000000.0,105413000000.0,1534829000000.0,0.0,0.0,-26755000000.0,20764000000.0,27730000000.0,48585000000.0,-54954000000.0,15888000000.0,3340000000.0,14405000000.0,16149000000.0,58312000000.0,0.0,0.0,0.0,108582000000.0,0.0,1197259000000.0,-5674000000.0,78324000000.0,1309000000.0,0.0,-381000000.0,3995000000.0,24.0,9.0,17.0,60.0,0.0,88564000000.0,590000000.0,56358000000.0,202389000000.0,7744000000.0,2144316000000.0,0.0,0.0,256205000000.0,1888111000000.0,2144316000000.0,93056000000.0,0.0,0.36,13425000000.0,16.110001
2016-10-06,0,0,0,0,70858,16.17,16.040001,16.23,75886700.0,14.6458,15.087711729493307,15.622,16.156288270506693,6.840203181496503,1.059622055180894,65.00892498854502,0.1282231998240508,0.0500935829447238,0.078129616879327,0.0332214202900427,-0.0256554347179783,193,146286000000.0,0.0,0.0,6.0,0.0,0.0,10.0,612987000000.0,0.0,151042000000.0,2204000000.0,102.0,0.0,0.0,4861000000.0,31842000000.0,22154000000.0,-597000000.0,261000000.0,9485000000.0,69761000000.0,0.0,0.0,6266000000.0,3768000000.0,8345000000.0,0.0,-56263000000.0,730000000.0,105413000000.0,1534829000000.0,0.0,0.0,-26755000000.0,20764000000.0,27730000000.0,48585000000.0,-54954000000.0,15888000000.0,3340000000.0,14405000000.0,16149000000.0,58312000000.0,0.0,0.0,0.0,108582000000.0,0.0,1197259000000.0,-5674000000.0,78324000000.0,1309000000.0,0.0,-381000000.0,3995000000.0,24.0,9.0,17.0,60.0,0.0,88564000000.0,590000000.0,56358000000.0,202389000000.0,7744000000.0,2144316000000.0,0.0,0.0,256205000000.0,1888111000000.0,2144316000000.0,93056000000.0,0.0,0.36,13425000000.0,16.219999
2016-10-07,0,0,0,0,70858,16.190001,15.98,16.25,99605400.0,14.66699999,15.06463708882655,15.64149995,16.21836281117345,7.376055531981755,0.9234100363180784,62.36860681372698,0.1514147422101288,0.0586281002646414,0.0927866419454873,0.0276572633958943,-0.023427772924304,193,146286000000.0,0.0,0.0,6.0,0.0,0.0,10.0,612987000000.0,0.0,151042000000.0,2204000000.0,102.0,0.0,0.0,4861000000.0,31842000000.0,22154000000.0,-597000000.0,261000000.0,9485000000.0,69761000000.0,0.0,0.0,6266000000.0,3768000000.0,8345000000.0,0.0,-56263000000.0,730000000.0,105413000000.0,1534829000000.0,0.0,0.0,-26755000000.0,20764000000.0,27730000000.0,48585000000.0,-54954000000.0,15888000000.0,3340000000.0,14405000000.0,16149000000.0,58312000000.0,0.0,0.0,0.0,108582000000.0,0.0,1197259000000.0,-5674000000.0,78324000000.0,1309000000.0,0.0,-381000000.0,3995000000.0,24.0,9.0,17.0,60.0,0.0,88564000000.0,590000000.0,56358000000.0,202389000000.0,7744000000.0,2144316000000.0,0.0,0.0,256205000000.0,1888111000000.0,2144316000000.0,93056000000.0,0.0,0.36,13425000000.0,16.129999
2016-10-10,0,0,0,0,70858,16.219999,16.18,16.4,64158500.0,14.68309998,15.025472767558796,15.6614999,16.297527032441206,8.122173948884742,1.0019432878195824,65.24037547954683,0.181420483484576,0.0709070732312709,0.1105134102533051,0.0381414797180802,-0.0211491057575745,193,146286000000.0,0.0,0.0,6.0,0.0,0.0,10.0,612987000000.0,0.0,151042000000.0,2204000000.0,102.0,0.0,0.0,4861000000.0,31842000000.0,22154000000.0,-597000000.0,261000000.0,9485000000.0,69761000000.0,0.0,0.0,6266000000.0,3768000000.0,8345000000.0,0.0,-56263000000.0,730000000.0,105413000000.0,1534829000000.0,0.0,0.0,-26755000000.0,20764000000.0,27730000000.0,48585000000.0,-54954000000.0,15888000000.0,3340000000.0,14405000000.0,16149000000.0,58312000000.0,0.0,0.0,0.0,108582000000.0,0.0,1197259000000.0,-5674000000.0,78324000000.0,1309000000.0,0.0,-381000000.0,3995000000.0,24.0,9.0,17.0,60.0,0.0,88564000000.0,590000000.0,56358000000.0,202389000000.0,7744000000.0,2144316000000.0,0.0,0.0,256205000000.0,1888111000000.0,2144316000000.0,93056000000.0,0.0,0.36,13425000000.0,16.299999
2016-10-11,0,0,0,0,70858,16.26,16.02,16.33,77374000.0,14.69889999,15.015751349549308,15.68099995,16.346248550450696,8.484772687607776,0.822436642263778,59.752085904052734,0.18770524962855,0.0617534715001959,0.1259517781283541,0.0264166925171862,-0.0190709683180983,193,146286000000.0,0.0,0.0,6.0,0.0,0.0,10.0,612987000000.0,0.0,151042000000.0,2204000000.0,102.0,0.0,0.0,4861000000.0,31842000000.0,22154000000.0,-597000000.0,261000000.0,9485000000.0,69761000000.0,0.0,0.0,6266000000.0,3768000000.0,8345000000.0,0.0,-56263000000.0,730000000.0,105413000000.0,1534829000000.0,0.0,0.0,-26755000000.0,20764000000.0,27730000000.0,48585000000.0,-54954000000.0,15888000000.0,3340000000.0,14405000000.0,16149000000.0,58312000000.0,0.0,0.0,0.0,108582000000.0,0.0,1197259000000.0,-5674000000.0,78324000000.0,1309000000.0,0.0,-381000000.0,3995000000.0,24.0,9.0,17.0,60.0,0.0,88564000000.0,590000000.0,56358000000.0,202389000000.0,7744000000.0,2144316000000.0,0.0,0.0,256205000000.0,1888111000000.0,2144316000000.0,93056000000.0,0.0,0.36,13425000000.0,16.110001
2016-10-12,0,0,0,0,70858,16.09,16.01,16.24,67165800.0,14.714,15.019240628959295,15.701,16.3827593710407,8.684279613281968,0.7412882125094834,57.55654796847061,0.1841083541615358,0.0465252608265453,0.1375830933349904,0.0214384622595502,-0.0172846673831473,193,146286000000.0,0.0,0.0,6.0,0.0,0.0,10.0,612987000000.0,0.0,151042000000.0,2204000000.0,102.0,0.0,0.0,4861000000.0,31842000000.0,22154000000.0,-597000000.0,261000000.0,9485000000.0,69761000000.0,0.0,0.0,6266000000.0,3768000000.0,8345000000.0,0.0,-56263000000.0,730000000.0,105413000000.0,1534829000000.0,0.0,0.0,-26755000000.0,20764000000.0,27730000000.0,48585000000.0,-54954000000.0,15888000000.0,3340000000.0,14405000000.0,16149000000.0,58312000000.0,0.0,0.0,0.0,108582000000.0,0.0,1197259000000.0,-5674000000.0,78324000000.0,1309000000.0,0.0,-381000000.0,3995000000.0,24.0,9.0,17.0,60.0,0.0,88564000000.0,590000000.0,56358000000.0,202389000000.0,7744000000.0,2144316000000.0,0.0,0.0,256205000000.0,1888111000000.0,2144316000000.0,93056000000.0,0.0,0.36,13425000000.0,16.030001
2016-10-13,0,0,0,0,70858,16.09,15.6,16.09,78637000.0,14.7276,15.025131708585777,15.709,16.392868291414224,8.706706873947732,0.5884673273487905,52.37522526337687,0.1632376770388148,0.0205236669630595,0.1427140100757553,0.0088833071479796,-0.0158513463129494,193,146286000000.0,0.0,0.0,6.0,0.0,0.0,10.0,612987000000.0,0.0,151042000000.0,2204000000.0,102.0,0.0,0.0,4861000000.0,31842000000.0,22154000000.0,-597000000.0,261000000.0,9485000000.0,69761000000.0,0.0,0.0,6266000000.0,3768000000.0,8345000000.0,0.0,-56263000000.0,730000000.0,105413000000.0,1534829000000.0,0.0,0.0,-26755000000.0,20764000000.0,27730000000.0,48585000000.0,-54954000000.0,15888000000.0,3340000000.0,14405000000.0,16149000000.0,58312000000.0,0.0,0.0,0.0,108582000000.0,0.0,1197259000000.0,-5674000000.0,78324000000.0,1309000000.0,0.0,-381000000.0,3995000000.0,24.0,9.0,17.0,60.0,0.0,88564000000.0,590000000.0,56358000000.0,202389000000.0,7744000000.0,2144316000000.0,0.0,0.0,256205000000.0,1888111000000.0,2144316000000.0,93056000000.0,0.0,0.36,13425000000.0,15.83
2016-10-14,0,0,0,0,70858,16.15,15.94,16.23,108865700.0,14.7408,15.047172683503849,15.7345,16.421827316496156,8.736563811956584,0.6931394210792173,56.00091769050536,0.1585870020618838,0.0126983935889027,0.145888608472981,0.01956515549484,-0.0142858426937964,193,146286000000.0,0.0,0.0,6.0,0.0,0.0,10.0,612987000000.0,0.0,151042000000.0,2204000000.0,102.0,0.0,0.0,4861000000.0,31842000000.0,22154000000.0,-597000000.0,261000000.0,9485000000.0,69761000000.0,0.0,0.0,6266000000.0,3768000000.0,8345000000.0,0.0,-56263000000.0,730000000.0,105413000000.0,1534829000000.0,0.0,0.0,-26755000000.0,20764000000.0,27730000000.0,48585000000.0,-54954000000.0,15888000000.0,3340000000.0,14405000000.0,16149000000.0,58312000000.0,0.0,0.0,0.0,108582000000.0,0.0,1197259000000.0,-5674000000.0,78324000000.0,1309000000.0,0.0,-381000000.0,3995000000.0,24.0,9.0,17.0,60.0,0.0,88564000000.0,590000000.0,56358000000.0,202389000000.0,7744000000.0,2144316000000.0,0.0,0.0,256205000000.0,1888111000000.0,2144316000000.0,93056000000.0,0.0,0.36,13425000000.0,16.0
2016-10-17,0,0,0,0,70858,16.17,15.9,16.200001,101795500.0,14.75209999,15.060338044125912,15.75749995,16.454661855874086,8.848635990306144,0.7097784227275521,57.03689621778837,0.157124575774409,0.0089887738411424,0.1481358019332666,0.0226852205257858,-0.012426751222194,193,146286000000.0,0.0,0.0,6.0,0.0,0.0,10.0,612987000000.0,0.0,151042000000.0,2204000000.0,102.0,0.0,0.0,4861000000.0,31842000000.0,22154000000.0,-597000000.0,261000000.0,9485000000.0,69761000000.0,0.0,0.0,6266000000.0,3768000000.0,8345000000.0,0.0,-56263000000.0,730000000.0,105413000000.0,1534829000000.0,0.0,0.0,-26755000000.0,20764000000.0,27730000000.0,48585000000.0,-54954000000.0,15888000000.0,3340000000.0,14405000000.0,16149000000.0,58312000000.0,0.0,0.0,0.0,108582000000.0,0.0,1197259000000.0,-5674000000.0,78324000000.0,1309000000.0,0.0,-381000000.0,3995000000.0,24.0,9.0,17.0,60.0,0.0,88564000000.0,590000000.0,56358000000.0,202389000000.0,7744000000.0,2144316000000.0,0.0,0.0,256205000000.0,1888111000000.0,2144316000000.0,93056000000.0,0.0,0.36,13425000000.0,16.049999
